開催日,日目,レース,開催日,着,actual_boat1_win,P(1号艇1着),予測,的中
2024-01-20,6,6,2024-01-20,1,1,0.7182401277404663,1,True
2024-01-20,6,7,2024-01-20,2,0,0.3414530904613553,0,True
2024-01-20,6,8,2024-01-20,2,0,0.4811465862310472,0,True
2024-01-20,6,9,2024-01-20,1,1,0.633035030317344,1,True
2024-01-20,6,11,2024-01-20,4,0,0.16677970564641287,0,True
2024-01-20,6,12,2024-01-20,1,1,0.7881883140709415,1,True
2024-01-23,1,2,2024-01-23,2,0,0.4378059802013844,0,True
2024-01-23,1,3,2024-01-23,2,0,0.46259551637546925,0,True
2024-01-23,1,4,2024-01-23,1,1,0.45973420201293963,0,False
2024-01-23,1,5,2024-01-23,5,0,0.3947099063153607,0,True
2024-01-23,1,6,2024-01-23,6,0,0.4264832490908377,0,True
2024-01-23,1,7,2024-01-23,3,0,0.2584117692566328,0,True
2024-01-23,1,8,2024-01-23,5,0,0.5208410304112661,1,False
2024-01-23,1,9,2024-01-23,4,0,0.3066352886366297,0,True
2024-01-23,1,10,2024-01-23,1,1,0.414510291926445,0,False
2024-01-23,1,11,2024-01-23,1,1,0.7056059888982337,1,True
2024-01-23,1,12,2024-01-23,1,1,0.7754895141645204,1,True
2024-01-25,2,1,2024-01-25,1,1,0.4836691088751616,0,False
2024-01-25,2,2,2024-01-25,3,0,0.46133109313791865,0,True
2024-01-25,2,3,2024-01-25,2,0,0.2845974036034411,0,True
2024-01-25,2,4,2024-01-25,2,0,0.4467520055791519,0,True
2024-01-25,2,5,2024-01-25,3,0,0.5301170497059104,1,False
2024-01-25,2,6,2024-01-25,1,1,0.45378149142387675,0,False
2024-01-25,2,7,2024-01-25,2,0,0.11290175066436388,0,True
2024-01-25,2,8,2024-01-25,1,1,0.8475549711763821,1,True
2024-01-25,2,9,2024-01-25,2,0,0.4862576889205328,0,True
2024-01-25,2,10,2024-01-25,5,0,0.3278589013899276,0,True
2024-01-25,2,11,2024-01-25,1,1,0.5260397866545413,1,True
2024-01-25,2,12,2024-01-25,1,1,0.7358390591178117,1,True
2024-01-26,3,2,2024-01-26,6,0,0.04789460574527049,0,True
2024-01-26,3,3,2024-01-26,2,0,0.541929750360885,1,False
2024-01-26,3,5,2024-01-26,6,0,0.6593793603521081,1,False
2024-01-26,3,6,2024-01-26,3,0,0.694144531049181,1,False
2024-01-26,3,7,2024-01-26,1,1,0.8444746234499405,1,True
2024-01-26,3,8,2024-01-26,1,1,0.5887000454102472,1,True
2024-01-26,3,9,2024-01-26,1,1,0.5789659430906041,1,True
2024-01-26,3,10,2024-01-26,1,1,0.8380781114592846,1,True
2024-01-26,3,11,2024-01-26,1,1,0.7274201248989899,1,True
2024-01-26,3,12,2024-01-26,1,1,0.777693390052122,1,True
2024-01-27,4,1,2024-01-27,1,1,0.46271413680648527,0,False
2024-01-27,4,2,2024-01-27,1,1,0.3792823826576162,0,False
2024-01-27,4,3,2024-01-27,1,1,0.34083959829325183,0,False
2024-01-27,4,4,2024-01-27,1,1,0.6388905076227027,1,True
2024-01-27,4,5,2024-01-27,5,0,0.257335659980171,0,True
2024-01-27,4,6,2024-01-27,2,0,0.44888234428450025,0,True
2024-01-27,4,8,2024-01-27,1,1,0.46923449687325847,0,False
2024-01-27,4,9,2024-01-27,1,1,0.7697680375190264,1,True
2024-01-27,4,10,2024-01-27,2,0,0.7087362059787681,1,False
2024-01-27,4,11,2024-01-27,1,1,0.8359860083390875,1,True
2024-01-27,4,12,2024-01-27,1,1,0.8071711301813145,1,True
2024-01-28,5,2,2024-01-28,2,0,0.27090964345973834,0,True
2024-01-28,5,3,2024-01-28,1,1,0.3432222504452105,0,False
2024-01-28,5,4,2024-01-28,1,1,0.30609542288484903,0,False
2024-01-28,5,5,2024-01-28,1,1,0.8601953903658491,1,True
2024-01-28,5,6,2024-01-28,1,1,0.6324875936640838,1,True
2024-01-28,5,7,2024-01-28,1,1,0.6326231546693522,1,True
2024-01-28,5,9,2024-01-28,6,0,0.08833946764285736,0,True
2024-01-28,5,10,2024-01-28,1,1,0.759985562926667,1,True
2024-01-28,5,11,2024-01-28,2,0,0.7357705888208523,1,False
2024-01-28,5,12,2024-01-28,1,1,0.7288222875955214,1,True
2024-01-29,6,1,2024-01-29,2,0,0.483311961973604,0,True
2024-01-29,6,2,2024-01-29,1,1,0.5645854643048531,1,True
2024-01-29,6,4,2024-01-29,1,1,0.4460415855669608,0,False
2024-01-29,6,5,2024-01-29,2,0,0.3401642082062575,0,True
2024-01-29,6,6,2024-01-29,1,1,0.3986957840242804,0,False
2024-01-29,6,7,2024-01-29,3,0,0.3678296724488904,0,True
2024-01-29,6,9,2024-01-29,2,0,0.35676914047667624,0,True
2024-01-29,6,10,2024-01-29,6,0,0.28917418232431924,0,True
2024-01-29,6,11,2024-01-29,1,1,0.5646161030548625,1,True
2024-01-29,6,12,2024-01-29,1,1,0.8029131640810583,1,True
2024-01-31,1,1,2024-01-31,2,0,0.09820157740497001,0,True
2024-01-31,1,2,2024-01-31,6,0,0.39351510278616886,0,True
2024-01-31,1,3,2024-01-31,3,0,0.3520211173680506,0,True
