race_key,実際,的中,予測1,予測2,予測3,予測4,予測5
2025-06-27_R9,6-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-27_R11,2-6-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-28_R1,5-1-3,0,2-1-6,2-3-6,2-4-6,2-5-6,2-6-1
2025-06-28_R2,5-3-1,0,2-3-5,2-5-3,3-2-5,3-5-2,5-2-3
2025-06-28_R3,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-06-29_R3,3-5-6,0,2-1-4,2-3-4,2-5-4,2-6-4,3-2-4
2025-06-29_R4,2-1-3,1,2-1-3,2-3-1,2-3-4,2-3-5,2-3-6
2025-06-29_R11,4-1-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-12_R3,3-2-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-12_R4,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-12_R6,3-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-12_R7,3-1-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-12_R11,6-1-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-13_R1,2-4-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-13_R3,6-2-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-13_R4,2-6-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-13_R5,2-3-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-13_R11,5-1-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-14_R5,6-1-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-14_R10,2-1-3,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-14_R12,4-5-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-15_R1,4-5-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-15_R2,3-5-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-15_R3,5-6-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-15_R4,3-1-5,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-15_R5,6-1-2,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-15_R10,2-4-1,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-15_R11,2-4-3,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-15_R12,2-1-6,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-18_R1,2-3-4,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-18_R3,6-5-3,0,2-1-4,2-3-4,2-5-4,2-6-4,3-1-4
2025-07-18_R4,5-4-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-18_R5,2-1-5,1,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
2025-07-18_R6,3-1-6,0,2-1-3,2-1-4,2-1-5,2-1-6,2-3-1
