登番,名前漢字,級,身長,体重,勝率,複勝率,直近10年勝率,直近10年2連帯率,直近10年3連帯率,直近5年勝率,直近5年2連帯率,直近5年3連帯率,1着率,2着率,3着率,1着回数,2着回数,出走回数,優出回数,優勝回数,平均スタートタイミング,1コース進入回数,1コース複勝率,1コース平均スタートタイミング,1コース平均スタート順位,2コース進入回数,2コース複勝率,2コース平均スタートタイミング,2コース平均スタート順位,3コース進入回数,3コース複勝率,3コース平均スタートタイミング,3コース平均スタート順位,4コース進入回数,4コース複勝率,4コース平均スタートタイミング,4コース平均スタート順位,5コース進入回数,5コース複勝率,5コース平均スタートタイミング,5コース平均スタート順位,6コース進入回数,6コース複勝率,6コース平均スタートタイミング,6コース平均スタート順位,1コース1着回数,1コース2着回数,1コース3着回数,1コース4着回数,1コース5着回数,1コース6着回数,2コース1着回数,2コース2着回数,2コース3着回数,2コース4着回数,2コース5着回数,2コース6着回数,3コース1着回数,3コース2着回数,3コース3着回数,3コース4着回数,3コース5着回数,3コース6着回数,4コース1着回数,4コース2着回数,4コース3着回数,4コース4着回数,4コース5着回数,4コース6着回数,5コース1着回数,5コース2着回数,5コース3着回数,5コース4着回数,5コース5着回数,5コース6着回数,6コース1着回数,6コース2着回数,6コース3着回数,6コース4着回数,6コース5着回数,6コース6着回数,算出期間自,算出期間至
2841,吉　田　　　　稔,B1,161,53,5.3,27.8,5.3,27.8,53.0,5.3,27.8,53.0,8.7,19.1,25.2,10,22,115,0,0,0.18,19,63.2,0.18,3.2,21,23.8,0.2,3.5,21,19.0,0.18,3.6,26,23.1,0.18,3.5,16,25.0,0.17,3.5,12,8.3,0.17,3.5,4,8,4,3,0,0,1,4,5,3,7,1,1,3,5,6,5,1,4,2,9,8,1,2,0,4,3,3,4,2,0,1,3,3,2,3,2013-11-01,2014-04-30
2842,刀　根　　辰　治,B1,167,50,4.79,26.0,4.79,26.1,46.2,4.79,26.1,46.2,7.6,18.5,20.2,9,22,119,1,0,0.18,18,27.8,0.22,3.5,18,38.9,0.2,3.7,15,26.7,0.17,2.7,22,22.7,0.2,3.4,28,25.0,0.12,2.2,18,16.7,0.17,3.2,3,2,2,5,2,4,1,6,5,2,3,1,1,3,4,3,3,1,1,4,6,4,4,3,3,4,5,8,3,5,0,3,2,3,4,6,2013-11-01,2014-04-30
2843,友　永　　明　夫,B1,164,55,3.79,16.0,3.79,16.1,32.2,3.79,16.1,32.2,2.3,13.8,16.1,2,12,87,0,0,0.21,11,9.1,0.21,4.5,16,25.0,0.22,3.7,20,20.0,0.2,4.1,14,21.4,0.16,2.8,12,8.3,0.23,3.8,15,6.7,0.22,3.3,0,1,1,4,2,3,1,3,5,3,1,3,0,4,2,3,6,4,1,2,3,2,3,3,0,1,2,3,3,3,0,1,1,2,5,6,2013-11-01,2014-04-30
2844,田　中　　伸　二,B1,161,53,4.98,28.4,4.98,28.4,48.9,4.98,28.4,48.9,10.2,18.2,20.5,9,16,88,0,0,0.2,13,53.8,0.18,3.4,23,30.4,0.19,3.2,20,25.0,0.22,4.0,18,27.8,0.2,4.2,11,9.1,0.24,4.6,4,0.0,0.16,4.5,5,2,1,1,4,0,1,6,8,2,2,3,1,4,4,3,5,3,1,4,4,5,3,1,1,0,1,3,6,0,0,0,0,1,2,1,2013-11-01,2014-04-30
2850,小　松　　昇　司,B2,169,52,3.0,16.3,3.0,16.3,18.4,3.0,16.3,18.4,6.1,10.2,2.0,3,5,49,0,0,0.23,12,25.0,0.2,3.7,25,20.0,0.23,3.9,11,0.0,0.25,4.9,1,0.0,0.33,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,1,1,4,1,3,1,4,0,2,3,15,0,0,0,2,3,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-11-01,2014-04-30
2871,藤　田　　治　義,B2,169,53,2.81,2.0,2.81,2.1,14.6,2.81,2.1,14.6,0.0,2.1,12.5,0,1,48,0,0,0.2,6,0.0,0.15,4.5,8,0.0,0.2,3.1,7,14.3,0.17,3.0,6,0.0,0.16,3.2,11,0.0,0.24,4.1,10,0.0,0.21,4.2,0,0,0,2,3,1,0,0,1,5,0,1,0,1,1,1,3,1,0,0,1,1,3,1,0,0,3,2,3,3,0,0,0,1,3,6,2013-11-01,2014-04-30
2874,久　保　　　　隆,B1,164,54,3.51,14.2,3.51,14.3,25.4,3.51,14.3,25.4,4.8,9.5,11.1,3,6,63,0,0,0.19,12,33.3,0.18,3.3,17,5.9,0.18,3.3,15,20.0,0.2,3.9,12,8.3,0.19,3.9,4,0.0,0.23,4.5,3,0.0,0.22,4.3,2,2,1,1,2,4,0,1,1,5,7,3,1,2,1,2,7,2,0,1,4,1,3,3,0,0,0,1,1,2,0,0,0,1,1,1,2013-11-01,2014-04-30
2876,鈴　木　　幸　夫,A2,163,53,5.94,41.2,5.94,41.3,58.7,5.94,41.3,58.7,23.0,18.3,17.5,29,23,126,6,0,0.17,45,64.4,0.14,2.3,64,31.3,0.18,3.6,15,20.0,0.16,3.3,1,0.0,0.12,4.0,0,0.0,0.0,0.0,1,0.0,0.28,6.0,20,9,4,3,5,4,9,11,13,10,13,8,0,3,5,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2013-11-01,2014-04-30
2878,富　山　　弘　幸,A2,165,56,5.87,43.0,5.87,43.1,61.1,5.87,43.1,61.1,17.4,25.7,18.1,25,37,144,3,0,0.18,29,72.4,0.17,3.0,26,42.3,0.19,3.5,22,50.0,0.19,3.5,35,40.0,0.15,2.5,25,16.0,0.18,3.0,8,12.5,0.24,4.9,11,10,5,1,0,2,5,6,3,2,5,5,1,10,4,3,1,3,7,7,6,6,7,2,1,3,6,6,6,2,0,1,2,0,2,3,2013-11-01,2014-04-30
2883,柾　田　　敏　行,B1,157,56,3.59,13.7,3.59,13.7,23.3,3.59,13.7,23.3,5.5,8.2,9.6,4,6,73,0,0,0.2,16,12.5,0.2,3.4,9,44.4,0.21,4.4,14,7.1,0.18,3.7,12,16.7,0.17,3.3,11,0.0,0.21,3.8,11,9.1,0.24,4.7,2,0,3,4,4,2,1,3,1,2,1,0,0,1,1,3,4,5,1,1,1,5,1,3,0,0,0,5,2,4,0,1,1,2,3,4,2013-11-01,2014-04-30
