開催日,日目,レース,3連単,3連単オッズ,予測オッズ,予測誤差
2023-11-26,6,4,1-3-4,8.4,32.066007995543835,23.666007995543836
2023-11-26,6,5,1-4-5,12.3,31.19815043543283,18.89815043543283
2023-11-26,6,6,1-5-4,45.7,32.843451373695814,-12.856548626304189
2023-11-26,6,7,1-5-4,37.6,42.0810376818939,4.481037681893902
2023-11-26,6,10,1-4-3,19.2,23.02817569559862,3.8281756955986204
2023-11-26,6,11,1-3-4,12.7,13.082103066306445,0.3821030663064455
2023-11-26,6,12,1-2-4,8.6,7.792022315115821,-0.8079776848841789
2023-11-28,1,1,1-3-5,60.7,32.75259907841166,-27.94740092158834
2023-11-28,1,4,1-3-2,50.5,33.9300977634345,-16.569902236565497
2023-11-28,1,5,1-4-3,59.0,33.12813046028062,-25.871869539719377
2023-11-28,1,6,1-4-6,167.2,98.01152658418765,-69.18847341581234
2023-11-28,1,7,1-3-2,24.2,19.773719798156357,-4.4262802018436425
2023-11-28,1,8,1-4-2,8.6,10.717202607343507,2.1172026073435077
2023-11-28,1,9,1-3-2,8.3,10.707029900461972,2.4070299004619713
2023-11-28,1,10,1-5-4,55.7,57.7635955877542,2.0635955877542003
2023-11-28,1,12,1-3-4,9.4,10.694502105843249,1.2945021058432484
2023-11-29,2,3,1-5-6,36.9,43.56644057879087,6.666440578790869
2023-11-29,2,6,1-4-2,23.8,15.930344918090999,-7.869655081909002
2023-11-29,2,7,1-2-3,6.1,10.108710461846739,4.008710461846739
2023-11-29,2,9,1-2-3,5.1,9.285543282577843,4.185543282577843
2023-11-29,2,11,1-4-3,13.4,17.57902323971462,4.179023239714619
2023-11-29,2,12,1-3-5,25.5,14.643758694384431,-10.856241305615569
2023-11-30,3,1,1-4-2,17.5,22.40828309026518,4.908283090265179
2023-11-30,3,3,1-3-5,21.3,36.1427090989037,14.8427090989037
2023-11-30,3,8,1-2-3,23.9,14.965545535730783,-8.934454464269216
2023-12-01,4,3,1-2-4,16.4,14.35659702593621,-2.0434029740637882
2023-12-01,4,7,1-3-2,7.2,8.563736522264573,1.3637365222645732
2023-12-01,4,8,1-5-3,64.3,58.84393313954119,-5.4560668604588045
2023-12-01,4,9,1-2-3,6.3,8.330975616063787,2.0309756160637873
2023-12-01,4,10,1-2-3,10.9,7.039855643863425,-3.8601443561365754
2023-12-01,4,11,1-2-4,9.9,10.449463407914486,0.5494634079144856
2023-12-01,4,12,1-3-5,25.2,18.702690545821213,-6.497309454178787
2023-12-02,5,1,1-3-6,29.2,23.337239334446966,-5.862760665553033
2023-12-02,5,2,1-2-3,32.2,14.026294881337575,-18.173705118662426
2023-12-02,5,3,1-4-3,10.9,32.80091165307521,21.900911653075212
2023-12-02,5,6,1-3-2,6.2,6.415892307230049,0.2158923072300487
2023-12-02,5,7,1-2-3,9.1,17.87598215932708,8.77598215932708
2023-12-02,5,8,1-4-3,12.5,22.8926072745344,10.392607274534399
2023-12-02,5,9,1-4-6,56.9,33.59636291840963,-23.303637081590367
2023-12-02,5,10,1-3-5,17.1,13.428021628303668,-3.6719783716963335
2023-12-02,5,11,1-3-2,10.8,11.87657443653701,1.07657443653701
2023-12-02,5,12,1-2-4,8.9,8.192177102318647,-0.7078228976813534
2023-12-03,6,1,1-4-6,22.8,35.16760300470223,12.367603004702229
2023-12-03,6,2,1-3-2,14.7,15.087262345815843,0.3872623458158433
2023-12-03,6,5,1-3-6,22.1,30.75485175442488,8.654851754424879
2023-12-03,6,7,1-2-6,9.4,33.98896115506442,24.588961155064425
