レース場,タイプ,季節,艇,1着率(%),2着率(%),3着率(%),2連帯率(%),3連帯率(%)
下関,季節別連帯率,夏(6-8月),4,,,,28.01,47.48
下関,季節別連帯率,夏(6-8月),5,,,,16.94,34.04
下関,季節別連帯率,夏(6-8月),6,,,,13.15,29.59
下関,季節別連帯率,秋(9-11月),1,,,,74.75,83.91
下関,季節別連帯率,秋(9-11月),2,,,,37.76,56.74
下関,季節別連帯率,秋(9-11月),3,,,,32.67,53.35
下関,季節別連帯率,秋(9-11月),4,,,,28.48,48.14
下関,季節別連帯率,秋(9-11月),5,,,,16.35,32.87
下関,季節別連帯率,秋(9-11月),6,,,,12.62,28.96
下関,季節別連帯率,冬(12-2月),1,,,,76.74,84.66
下関,季節別連帯率,冬(12-2月),2,,,,39.1,58.95
下関,季節別連帯率,冬(12-2月),3,,,,33.17,54.03
下関,季節別連帯率,冬(12-2月),4,,,,25.58,46.94
下関,季節別連帯率,冬(12-2月),5,,,,15.69,31.69
下関,季節別連帯率,冬(12-2月),6,,,,12.65,28.22
蒲郡,全体着率,-,1,53.91,17.23,9.4,,
蒲郡,全体着率,-,2,13.6,23.09,18.16,,
蒲郡,全体着率,-,3,12.52,21.08,19.19,,
蒲郡,全体着率,-,4,11.24,18.08,20.67,,
蒲郡,全体着率,-,5,6.18,13.48,18.09,,
蒲郡,全体着率,-,6,3.95,8.54,15.95,,
蒲郡,全体連帯率,-,1,,,,71.14,80.54
蒲郡,全体連帯率,-,2,,,,36.7,54.85
蒲郡,全体連帯率,-,3,,,,33.59,52.79
蒲郡,全体連帯率,-,4,,,,29.32,49.99
蒲郡,全体連帯率,-,5,,,,19.66,37.76
蒲郡,全体連帯率,-,6,,,,12.49,28.43
蒲郡,季節別着率,春(3-5月),1,54.14,17.14,9.2,,
蒲郡,季節別着率,春(3-5月),2,14.09,23.39,18.82,,
蒲郡,季節別着率,春(3-5月),3,12.03,20.57,19.51,,
蒲郡,季節別着率,春(3-5月),4,11.36,18.29,20.48,,
蒲郡,季節別着率,春(3-5月),5,5.95,13.52,17.81,,
蒲郡,季節別着率,春(3-5月),6,3.8,8.51,15.6,,
蒲郡,季節別着率,夏(6-8月),1,53.18,16.23,10.02,,
蒲郡,季節別着率,夏(6-8月),2,12.91,23.27,17.84,,
蒲郡,季節別着率,夏(6-8月),3,12.43,21.68,18.56,,
蒲郡,季節別着率,夏(6-8月),4,11.52,17.63,19.64,,
蒲郡,季節別着率,夏(6-8月),5,6.94,13.57,17.98,,
蒲郡,季節別着率,夏(6-8月),6,4.31,9.04,17.29,,
蒲郡,季節別着率,秋(9-11月),1,54.72,17.14,9.16,,
蒲郡,季節別着率,秋(9-11月),2,13.58,23.44,18.13,,
蒲郡,季節別着率,秋(9-11月),3,12.7,21.57,19.64,,
蒲郡,季節別着率,秋(9-11月),4,10.67,18.34,21.03,,
蒲郡,季節別着率,秋(9-11月),5,6.02,13.23,18.05,,
蒲郡,季節別着率,秋(9-11月),6,3.76,7.82,15.5,,
蒲郡,季節別着率,冬(12-2月),1,53.55,18.24,9.31,,
蒲郡,季節別着率,冬(12-2月),2,13.76,22.34,17.83,,
蒲郡,季節別着率,冬(12-2月),3,12.89,20.57,19.01,,
蒲郡,季節別着率,冬(12-2月),4,11.43,18.01,21.38,,
蒲郡,季節別着率,冬(12-2月),5,5.91,13.61,18.51,,
蒲郡,季節別着率,冬(12-2月),6,3.96,8.8,15.56,,
蒲郡,季節別連帯率,春(3-5月),1,,,,71.27,80.47
蒲郡,季節別連帯率,春(3-5月),2,,,,37.48,56.29
蒲郡,季節別連帯率,春(3-5月),3,,,,32.6,52.11
蒲郡,季節別連帯率,春(3-5月),4,,,,29.65,50.14
蒲郡,季節別連帯率,春(3-5月),5,,,,19.47,37.27
蒲郡,季節別連帯率,春(3-5月),6,,,,12.31,27.91
蒲郡,季節別連帯率,夏(6-8月),1,,,,69.41,79.42
蒲郡,季節別連帯率,夏(6-8月),2,,,,36.18,54.03
蒲郡,季節別連帯率,夏(6-8月),3,,,,34.11,52.67
蒲郡,季節別連帯率,夏(6-8月),4,,,,29.15,48.79
蒲郡,季節別連帯率,夏(6-8月),5,,,,20.51,38.48
蒲郡,季節別連帯率,夏(6-8月),6,,,,13.35,30.65
蒲郡,季節別連帯率,秋(9-11月),1,,,,71.86,81.02
蒲郡,季節別連帯率,秋(9-11月),2,,,,37.01,55.14
蒲郡,季節別連帯率,秋(9-11月),3,,,,34.27,53.91
蒲郡,季節別連帯率,秋(9-11月),4,,,,29.01,50.04
蒲郡,季節別連帯率,秋(9-11月),5,,,,19.24,37.29
