開催日,日目,レース,開催日,着,P(1号艇1着),予測,actual_boat1_win,的中
2025-01-30,6,10,2025-01-30,1,0.8458815245652285,1,1,True
2025-01-30,6,11,2025-01-30,3,0.7066341698741446,1,0,False
2025-01-30,6,12,2025-01-30,3,0.8240185745770977,1,0,False
2025-02-04,1,1,2025-02-04,1,0.6120161815898288,1,1,True
2025-02-04,1,2,2025-02-04,1,0.749760066097942,1,1,True
2025-02-04,1,3,2025-02-04,5,0.732197585419929,1,0,False
2025-02-04,1,4,2025-02-04,2,0.5532085377048093,1,0,False
2025-02-04,1,5,2025-02-04,1,0.6252889661289867,1,1,True
2025-02-04,1,6,2025-02-04,6,0.6821526581339729,1,0,False
2025-02-04,1,8,2025-02-04,2,0.30410151003698965,0,0,True
2025-02-04,1,11,2025-02-04,6,0.7820556027030858,1,0,False
2025-02-04,1,12,2025-02-04,1,0.8827969781525932,1,1,True
2025-02-06,2,1,2025-02-06,3,0.36452402337773954,0,0,True
2025-02-06,2,2,2025-02-06,2,0.5697246393267896,1,0,False
2025-02-06,2,3,2025-02-06,1,0.5375206018766641,1,1,True
2025-02-06,2,4,2025-02-06,2,0.6136032061748895,1,0,False
2025-02-06,2,5,2025-02-06,1,0.5719611493792285,1,1,True
2025-02-06,2,6,2025-02-06,5,0.6814921702330867,1,0,False
2025-02-06,2,7,2025-02-06,1,0.4846741369796419,0,1,False
2025-02-06,2,8,2025-02-06,1,0.7049018181411402,1,1,True
2025-02-06,2,10,2025-02-06,1,0.8016153723847608,1,1,True
2025-02-06,2,11,2025-02-06,1,0.753949870811884,1,1,True
2025-02-06,2,12,2025-02-06,1,0.7629710272535474,1,1,True
2025-02-07,3,1,2025-02-07,1,0.5050001837368697,1,1,True
2025-02-07,3,2,2025-02-07,6,0.6175052001277082,1,0,False
2025-02-07,3,3,2025-02-07,1,0.1771088170874122,0,1,False
2025-02-07,3,4,2025-02-07,5,0.5790948214275797,1,0,False
2025-02-07,3,5,2025-02-07,3,0.30539161944473664,0,0,True
2025-02-07,3,6,2025-02-07,1,0.6896773731485152,1,1,True
2025-02-08,4,1,2025-02-08,1,0.8387288342515548,1,1,True
2025-02-08,4,2,2025-02-08,1,0.8053137521462379,1,1,True
2025-02-08,4,3,2025-02-08,1,0.7364276011389357,1,1,True
2025-02-08,4,4,2025-02-08,1,0.6444922336040487,1,1,True
2025-02-08,4,5,2025-02-08,5,0.33499326905386717,0,0,True
