開催日,日目,レース,3連単,予測確率,予測順位
2025-01-01,3,3,3-1-6,0.0002054410592687371,114
2025-01-01,3,3,6-2-3,0.00020357173834077466,115
2025-01-01,3,3,6-1-3,0.000192935768120896,116
2025-01-01,3,3,3-6-2,0.00017696688343852259,117
2025-01-01,3,3,6-3-2,0.00017205712343994228,118
2025-01-01,3,3,3-6-1,0.00016943809878192128,119
2025-01-01,3,3,6-3-1,0.00016473721699279277,120
2025-01-01,3,4,3-5-2,0.03141761039485318,1
2025-01-01,3,4,3-2-5,0.029633586609431984,2
2025-01-01,3,4,5-3-2,0.027246816886106962,3
2025-01-01,3,4,3-5-6,0.024927907278025626,4
2025-01-01,3,4,2-3-5,0.024782538967866335,5
2025-01-01,3,4,3-6-5,0.02200864395653902,6
2025-01-01,3,4,5-3-6,0.021618643697659593,7
2025-01-01,3,4,5-2-3,0.021350391528070403,8
2025-01-01,3,4,2-5-3,0.020588504418465516,9
2025-01-01,3,4,3-2-6,0.020067409618886204,10
2025-01-01,3,4,3-6-2,0.018783984075225364,11
2025-01-01,3,4,3-5-4,0.017999445967709363,12
2025-01-01,3,4,6-3-5,0.01764803826356184,13
2025-01-01,3,4,2-3-6,0.016782354678116895,14
2025-01-01,3,4,5-6-3,0.0160302795638033,15
2025-01-01,3,4,5-3-4,0.015609958942450156,16
2025-01-01,3,4,3-5-1,0.015243673658400788,17
2025-01-01,3,4,6-3-2,0.015062285089273797,18
2025-01-01,3,4,3-4-5,0.014875844960283664,19
2025-01-01,3,4,6-5-3,0.014821823083717024,20
2025-01-01,3,4,3-2-4,0.014489874786458284,21
2025-01-01,3,4,5-3-1,0.013220024681127866,22
2025-01-01,3,4,3-4-2,0.012696267675159,23
2025-01-01,3,4,2-6-3,0.012629542514966688,24
2025-01-01,3,4,3-1-5,0.012285969662887768,25
2025-01-01,3,4,3-2-1,0.012271428964653254,26
2025-01-01,3,4,2-3-4,0.012117867852709087,27
2025-01-01,3,4,6-2-3,0.012109583095010057,28
2025-01-01,3,4,4-3-5,0.011426247492931516,29
2025-01-01,3,4,5-4-3,0.010947063701457333,30
2025-01-01,3,4,3-6-4,0.010761522030832735,31
2025-01-01,3,4,3-1-2,0.01048585541899407,32
2025-01-01,3,4,2-3-1,0.01026258382139698,33
2025-01-01,3,4,3-4-6,0.010073693683438283,34
2025-01-01,3,4,4-3-2,0.009752097919828458,35
