開催日,日目,レース,3連単,最終オッズ,予測オッズ,予測誤差
2024-08-29,3,5,1-3-2,13.9,14.532190020431662,0.6321900204316613
2024-08-29,3,6,4-3-5,303.2,66.88399461805575,-236.31600538194425
2024-08-29,3,7,2-1-6,179.4,48.02725735025343,-131.37274264974658
2024-08-29,3,8,3-2-5,83.8,100.02533543128853,16.225335431288528
2024-08-29,3,10,1-3-6,23.8,25.332409637899225,1.5324096378992245
2024-08-29,3,11,1-3-2,16.3,13.742810972777907,-2.557189027222094
2024-08-29,3,12,1-3-2,17.0,13.928729203999104,-3.0712707960008956
2024-08-30,4,1,3-1-4,20.7,40.44775596950462,19.74775596950462
2024-08-30,4,3,4-5-3,228.2,71.78626765666897,-156.41373234333102
2024-08-30,4,4,3-1-5,42.4,46.75762478150926,4.357624781509259
2024-08-30,4,5,4-6-1,246.5,57.884219823115586,-188.6157801768844
2024-08-30,4,6,1-5-2,28.0,25.17298806210606,-2.827011937893939
2024-08-30,4,7,1-6-4,70.6,35.81910872294799,-34.78089127705201
2024-08-30,4,8,1-3-6,47.1,28.69769832065178,-18.40230167934822
2024-08-30,4,9,1-2-5,16.0,14.577566754917555,-1.4224332450824448
2024-08-30,4,10,4-5-3,290.0,161.66626433188694,-128.33373566811306
2024-08-30,4,11,1-3-2,18.0,13.707061216981234,-4.292938783018766
2024-08-30,4,12,1-4-2,30.9,16.614234857098044,-14.285765142901955
2024-08-31,5,1,1-4-2,17.5,10.773722104654203,-6.726277895345797
2024-08-31,5,2,1-2-3,9.7,17.278695982913128,7.578695982913128
2024-08-31,5,3,1-5-2,16.7,24.36400837069427,7.664008370694269
2024-08-31,5,4,2-3-1,149.5,49.347484759921535,-100.15251524007846
2024-08-31,5,5,1-4-2,14.0,14.912385695681037,0.9123856956810368
2024-08-31,5,6,3-6-2,286.7,110.3296912298912,-176.3703087701088
2024-08-31,5,7,1-2-4,14.2,12.183866706647013,-2.0161332933529863
2024-08-31,5,8,3-6-4,142.2,193.96206549567933,51.76206549567934
2024-08-31,5,10,1-3-4,16.3,12.5742314442154,-3.725768555784601
2024-08-31,5,11,1-6-4,86.5,54.65475545547374,-31.84524454452626
2024-08-31,5,12,1-2-6,36.5,22.561438848732575,-13.938561151267425
2024-09-01,6,1,1-5-4,22.0,29.637220972613793,7.637220972613793
2024-09-01,6,2,1-3-2,12.4,18.191510735615736,5.791510735615736
2024-09-01,6,3,4-6-1,334.5,57.90839602689968,-276.5916039731003
2024-09-01,6,4,1-2-3,12.0,16.250426953842176,4.250426953842176
2024-09-01,6,5,1-4-5,13.8,23.28649566163291,9.486495661632908
2024-09-01,6,6,1-5-2,18.6,30.843668206327973,12.243668206327971
2024-09-01,6,7,5-1-6,48.8,44.371800127626614,-4.4281998723733835
2024-09-01,6,8,1-4-6,25.4,32.23264099666439,6.832640996664388
2024-09-01,6,9,1-2-3,10.9,7.2606809817958595,-3.639319018204141
2024-09-01,6,10,1-4-3,21.5,18.118017226266243,-3.381982773733757
2024-09-01,6,11,1-2-4,11.6,7.882405860406652,-3.7175941395933476
2024-09-01,6,12,3-1-6,79.1,94.03964693183492,14.939646931834929
2024-09-05,1,1,6-1-3,126.2,69.59735625122445,-56.60264374877555
2024-09-05,1,2,3-4-6,44.3,72.23725884080054,27.93725884080054
2024-09-05,1,3,1-2-6,70.9,29.706082426911642,-41.19391757308836
2024-09-05,1,4,3-1-6,16.3,49.00019075029099,32.700190750290986
2024-09-05,1,5,1-3-2,39.2,11.335689812360808,-27.864310187639195
2024-09-05,1,6,1-2-5,110.5,16.213485160659673,-94.28651483934033
2024-09-05,1,7,5-3-4,80.8,94.62273069623352,13.82273069623352
2024-09-05,1,8,1-3-4,9.2,12.50572712045747,3.3057271204574707
2024-09-05,1,9,1-3-4,6.9,12.11911576141733,5.21911576141733
2024-09-05,1,10,1-2-6,7.3,19.948026293285196,12.648026293285195
2024-09-05,1,11,1-2-3,14.9,8.661253808985258,-6.238746191014743
2024-09-05,1,12,1-3-2,9.5,10.920105305781282,1.4201053057812825
2024-09-06,2,1,1-3-2,32.3,20.49571449240787,-11.804285507592127
2024-09-06,2,2,4-5-2,29.2,93.08365931455161,63.88365931455161
2024-09-06,2,3,1-2-6,51.6,24.64684234823011,-26.953157651769892
2024-09-06,2,5,3-4-1,60.3,42.6228373386537,-17.677162661346294
2024-09-06,2,6,1-3-4,5.2,9.369329333922542,4.1693293339225415
2024-09-06,2,7,2-1-5,21.8,27.943188118227646,6.143188118227645
2024-09-06,2,8,1-2-5,28.3,21.297799591827665,-7.002200408172335
2024-09-06,2,9,1-4-2,5.8,13.477127678794455,7.677127678794455
2024-09-06,2,10,1-5-6,17.1,40.96613479497354,23.86613479497354
2024-09-06,2,12,1-2-5,7.0,13.125691491470954,6.125691491470954
2024-09-07,3,1,6-5-1,139.2,217.27246787391908,78.0724678739191
2024-09-07,3,2,1-2-3,11.3,13.812080204255578,2.512080204255577
2024-09-07,3,4,1-4-6,34.2,34.4578503740306,0.2578503740305962
2024-09-07,3,5,1-5-4,54.6,38.27699429023545,-16.32300570976455
2024-09-07,3,6,3-4-5,20.9,38.29140562972298,17.391405629722982
2024-09-07,3,7,1-2-3,8.6,11.602345241158341,3.0023452411583413
2024-09-07,3,8,1-4-5,10.8,26.205734403616916,15.405734403616915
2024-09-07,3,9,1-3-2,57.8,14.306103931774095,-43.4938960682259
2024-09-07,3,10,1-2-6,28.3,20.986526230296644,-7.313473769703357
2024-09-07,3,11,6-5-2,620.4,391.25034992125023,-229.14965007874974
2024-09-07,3,12,1-5-6,14.7,47.63315075675872,32.93315075675872
2024-09-08,4,1,1-3-2,10.5,15.358992550909553,4.858992550909553
2024-09-08,4,2,1-5-3,120.7,29.794487330797725,-90.90551266920228
2024-09-08,4,3,2-1-5,39.9,45.85722620737865,5.957226207378653
2024-09-08,4,4,1-6-4,51.5,34.72252474898021,-16.777475251019787
2024-09-08,4,5,5-2-6,46.1,133.22072128602966,87.12072128602966
2024-09-08,4,6,1-2-3,10.4,11.135459493919534,0.7354594939195334
2024-09-08,4,7,1-6-2,9.1,23.357304094782233,14.257304094782233
2024-09-08,4,8,1-4-3,9.1,14.534189056996961,5.434189056996962
2024-09-08,4,10,1-2-4,6.0,8.021948835749525,2.0219488357495248
2024-09-08,4,11,1-2-3,6.3,8.218410277798515,1.9184102777985155
2024-09-08,4,12,3-2-1,204.6,126.19185203988074,-78.40814796011925
2024-09-09,5,1,2-1-4,39.2,39.410407089498605,0.21040708949860232
2024-09-09,5,2,2-1-5,21.6,57.82960991598149,36.22960991598149
2024-09-09,5,3,1-2-4,9.1,18.431291459826895,9.331291459826895
2024-09-09,5,4,5-1-6,128.9,61.479891395483214,-67.4201086045168
2024-09-09,5,5,2-4-5,82.5,48.338924372173395,-34.161075627826605
2024-09-09,5,6,1-4-5,11.3,23.490003910017233,12.190003910017232
2024-09-09,5,7,5-1-6,28.8,61.92523908861206,33.12523908861206
2024-09-09,5,8,1-2-4,3.9,4.710502769873265,0.8105027698732648
