開催日,日目,レース,実際3連単,予測3連単,予測確率,的中組み合わせ予測確率,的中組み合わせ予測順位,確率合計,NDCG@1,NDCG@3
2024-04-30,2,3,1-2-3,3-5-6,0.02012879244212488,0.004748582235534642,82,1.0000000000000004,0.23809523809523808,0.22114999677908337
2024-04-30,2,4,1-2-6,6-2-5,0.10612739503104146,0.007340614988062869,30,0.9999999999999999,0.23809523809523808,0.4003918929373487
2024-04-30,2,5,2-3-4,2-6-3,0.06622466538024216,0.02506293050156696,10,1.0000000000000002,1.0,0.8926697812982144
2024-04-30,2,6,1-2-3,4-3-1,0.03240486724098224,0.00525002097507091,56,0.9999999999999999,0.1111111111111111,0.5325846490803587
2024-04-30,2,7,1-5-6,6-1-5,0.04361013791309535,0.0231034303162686,13,0.9999999999999993,0.23809523809523808,0.7800299030519541
2024-04-30,2,8,1-4-5,4-1-2,0.09070507842638285,0.02783181551558871,8,0.9999999999999997,0.49206349206349204,0.8244453183899282
2024-04-30,2,9,4-5-1,1-5-4,0.05307360876515886,0.0158206676093834,24,0.9999999999999996,0.23809523809523808,0.733507507972155
2024-04-30,2,10,1-4-5,4-1-6,0.07652881844167445,0.04622212787493044,8,1.0000000000000002,0.49206349206349204,0.8244453183899282
2024-04-30,2,11,2-1-5,1-2-6,0.032090064490417694,0.014553944993177751,17,1.0,0.49206349206349204,0.7911337568864476
2024-04-30,2,12,4-5-1,4-3-5,0.04634341967927131,0.03472607902338261,5,1.0000000000000007,1.0,0.9206927883521764
2024-05-01,3,1,1-3-4,4-2-1,0.01952030138770904,0.011906170136249722,22,1.0,0.23809523809523808,0.5653694656483832
2024-05-01,3,2,1-2-6,6-2-1,0.0543590303051675,0.02519028327789524,12,1.0000000000000002,0.23809523809523808,0.733507507972155
2024-05-01,3,3,1-3-5,3-2-4,0.06137055643412015,0.004767478621418796,49,1.0,0.49206349206349204,0.40410021258049866
2024-05-01,3,4,1-4-6,6-1-2,0.042540811599652825,0.013468589876895943,29,1.0000000000000004,0.23809523809523808,0.6467836570380316
2024-05-01,3,5,2-5-1,2-5-6,0.13022671517965073,0.045066644788055395,5,1.0,1.0,0.9555845846620258
2024-05-01,3,6,4-3-5,4-3-1,0.10213561125754013,0.033387612832045784,9,1.0000000000000004,1.0,0.9555845846620258
2024-05-01,3,7,2-4-6,6-4-1,0.05002083767346691,0.006791356367570204,54,0.9999999999999998,0.23809523809523808,0.42259960060633583
2024-05-01,3,8,2-3-4,1-2-3,0.06441542187844557,0.011715235910125821,27,1.0,0.1111111111111111,0.6911990723760059
2024-05-01,3,9,1-3-4,4-2-5,0.049920740283272556,0.0034731756123496486,75,1.0000000000000004,0.23809523809523808,0.22643855122860201
2024-05-01,3,10,1-2-5,5-2-1,0.1498805045475281,0.04208970346516495,6,0.9999999999999999,0.23809523809523808,0.733507507972155
